lemma,uri
assentio,a3134
assentior,132261
assentor,a3135
assequor,a3137
assero,a3141
asseruio,a3145
asseruo,a3147
asseuero,a3154
assibilo,a3155
assiccesco,a3156
assicco,a3157
assideo,a3159
assido,a3160
assiduo,a3162
assignifico,a3168
assigno,a3169
assilentio,a3170
assilio,a3171
assimilo,43758
assimilor,132264
assimulo,a3175
assisto,a2418
asso,a3183
associo,a3184
assoleo,a3186
assolet,35628
assolido,a3187
assolo,a3188
assono,a3190
assubrigo,a3191
assudesco,a3192
assudo,$0005
assuefacio,a3193
assuefio,a3716
assuesco,a3194
assugo,a3196
assulto,a3201
assum,36160
assummo,a3203
assumo,
assuo,a3209
assurgo,a3210
assuscipio,a3212
assuspiro,a3213
asterno,a3229
astipulor,a3237
asto,a3239
astrangulo,a3247
astrepo,a3249
astrideo,a3253
astrido,53641
astrifico,a3255
astringo,a3259
astruo,a3276
astupeo,a3280
ategro,47011
atopto,49781
attachio,36488
attamino,a3329
attegro,a3334
attempero,a3337
attempto,a3338
attendo,a3339
attento,20218
attenuo,a3344
attermino,a3345
attero,a3346
attestor,a3351
attexo,a3352
atticisso,a3355
attigo,30689
attillo,a3358
attineo,a3361
attingo,a3400
attinguo,a3363
attitulo,a3365
attolero,a3366
attollero,97712
attollo,a3368
attondeo,a3369
attono,a3370
attorno,44530
attorqueo,a3372
attorreo,a3373
attracto,44943
attraho,a3376
attrecto,a3378
attremo,a3379
attrepido,a3380
attribulo,38308
attribuo,a3381
attropo,a3385
attueor,132827
attulo,57475
attumulo,a3388
attuor,a3386
auceo,50695
auctifico,a3406
auctiono,33356
auctionor,a3412
auctito,a3413
aucto,a3416
auctorizo,29353
auctoro,a3423
auctoror,132269
auctumnasco,103336
auctumnesco,103337
auctumno,33797
aucupo,97716
aucupor,a3432
audeo,a3437
audio,a3440
audito,a3443
audo,51705
aueho,a3450
auehor,132275
auello,a3451
aueno,a3455
aueo,a3465
auerro,a3456
auerrunco,a3457
auerso,103353
auersor,a3463
auerto,
auerto,a3468
aufero,a3469
aufugio,a3470
augeo,a3471
augesco,a6471
augifico,a3472
augmento,a3478
auguro,a3490
auguror,132271
augusto,a3491
auideo,a3497
auido,103367
auoco,a3525
auolo,a3527
auorro,44471
auorto,33159
auresco,a3540
aurigino,103404
aurigo,a3566
aurigor,132272
auro,a3574
auroresco,a3577
auroro,a3577
aurugino,a3580
ausculor,132768
ausculto,a3588
auspico,97728
auspico,32059
auspicor,a3593
authentico,45724
authorizo,32402
authoro,36944
automatizo,49730
autumnasco,a3624
autumnasct,32566
autumnesct,29528
autumno,a3627
autumo,a3630
auxilio,53914
auxilior,a3642
axo,a3657
babio,103451
baccho,103466
bacchor,b0022
baccor,132278
bacillo,103472
baco,b0029
badisso,47752
badizo,b0037
bado,103477
baeto,20347
baiiulo,52268
baiulo,b0046
balbo,b0057
balbutio,b0058
balbuttio,30959
balito,b0061
ballo,b0074
balneo,b9075
balo,b0086
balteo,b0094
baptizo,b0112
barbarizo,b0119
barbesco,b0126
barbio,b0128
barbo,b0132
barrio,b0146
basio,b0168
bataclo,b0179
batto,49916
battuo,b0191
batuo,50261
baubo,103567
baubor,b0193
beatifico,b0203
bebo,b0209
bellifico,b0231
belligero,b0234
belligeror,132280
bello,b0241
bellor,132281
belo,103589
benedico,b9256
benefacio,b9257
benefico,b0793
benefio,b9258
beneplaceo,b9270
benignor,b0276
beo,b0278
betisso,32997
betizo,b0290
beto,43679
bibo,b0311
bicinium,42202
bidento,103653
bilbo,b0367
bino,31513
bipartio,32117
bipartio,
bipertio,b0402
bito,b0436
bitumino,b0440
blactero,b0477
blandio,33891
blandior,b0462
blasphemo,b0473
blateo,b0477
blatero,b0477
blatio,b0479
blattero,103738
blattio,103742
blatto,38999
boicotizo,36377
bombardo,57150
bombico,b0513
bombilo,b0514
bombino,103764
bombio,b0515
bombito,b9515
bombizo,b0519
bombycino,103773
boo,b0539
borrio,b0550
botono,30722
bouinor,b0575
bouo,103815
bracio,28820
bractor,b0598
brauio,48096
breuio,b0629
briso,103861
brutesco,b0653
brutisco,103879
bubilo,103887
bubino,b0662
bubo,103890
bubulcito,b0669
bubulcitor,132829
